state,year,sales_all_sectors,production_all_sources,revenue_all_sectors,price_all_sectors,export_minus_import
Arizona,2011,74943.645,107883.31889000001,7278.6183,9.71,-426.41840685
Arizona,2012,75063.34301,110746.1036,7361.00101,9.81,-14.360482430000005
Arkansas,2001,41732.44901,47192.035,2524.27199,6.05,0.0
Arkansas,2002,42449.55799,47611.645000000004,2379.93198,5.61,0.0
Arkansas,2003,43108.25902,50380.931000000004,2399.48002,5.57,0.0
Arkansas,2004,43672.35997,51878.142210000005,2475.232,5.67,0.0
Arkansas,2005,46164.923,47753.10486,2910.45901,6.3,0.0
Arkansas,2006,46635.62399,52139.26497,3259.71801,6.99,0.0
Arkansas,2007,47054.89099,54537.02757,3273.009,6.96,0.0
Arkansas,2008,46134.681,54955.41383,3506.7994,7.6,0.0
Arkansas,2009,43173.104,57257.00903000001,3267.38649,7.57,0.0
Arkansas,2010,48194.28502,61001.22654,3506.83319,7.28,0.0
Arkansas,2011,47927.829,61238.673879999995,3561.99301,7.43,0.0
Arkansas,2012,46859.567,64920.85797,3569.58113,7.62,0.0
California,2001,247758.77798,199295.45299999998,27786.53899,11.22,-3054.38669154
California,2002,235213.33199,184692.025,28680.043,12.19,-1869.5003555299998
California,2003,243221.31601,194613.16936999996,28647.64199,11.78,-4125.56145239
California,2004,252025.97301,196414.01699,28598.26201,11.35,-1242.9144078699999
California,2005,254249.50699,200053.23205999998,29567.10102,11.63,-5526.73423806
California,2006,262958.52801,216606.41419,33711.83501,12.82,-2371.53109844
California,2007,264234.91098,210228.02287,33831.18899,12.8,-5504.46083674
California,2008,268155.219,207341.73684,33468.10791,12.48,-4694.70547033
California,2009,259583.62299,204470.43426,34376.5034,13.24,-2528.6171919599997
California,2010,258530.89202,204468.12554,33637.05208,13.01,-3072.2640268099995
California,2011,261941.70001,200982.42849000002,34192.71482,13.05,-5885.160156669999
California,2012,259538.03803,198368.84871,35123.30576,13.53,-8301.824199890001
Colorado,2001,44236.03801,47377.166,2662.44599,6.02,-36.047741609999996
Colorado,2002,45936.69602,46040.916,2758.22299,6.0,-6.74063461
Colorado,2003,46494.64498,47024.067,3146.11901,6.77,-2.05149749
Colorado,2004,46723.84101,48253.09441,3247.20101,6.95,-37.220025889999995
Colorado,2005,48353.23601,49860.82034,3693.85698,7.64,-5.8614214
Colorado,2006,49733.69801,51099.356850000004,3784.693,7.61,-1.17228428
Colorado,2007,51299.15598,54243.61414,3979.89499,7.76,0.58614214
Colorado,2008,52142.47299,53939.80956,4479.61761,8.59,1.46535535
Colorado,2009,51035.90599,50783.26754,4242.18979,8.31,0.0
Colorado,2010,52917.78602,50962.37577,4839.7264,9.15,3.22378177
Colorado,2011,53458.28502,51919.31229,5017.97119,9.39,7.912918889999999
Colorado,2012,53685.29703,53045.637109999996,5042.1523,9.39,1.17228428
Connecticut,2001,30540.758,30490.646,2937.42399,9.62,-765.50163484
Connecticut,2002,31005.489,31331.621,3011.92801,9.71,-325.60195877
Connecticut,2003,31830.218,29545.087,3234.50799,10.16,-345.8238626
Connecticut,2004,32214.61001,32617.977720000003,3304.971,10.26,-994.9762826499999
Connecticut,2005,33095.02901,33553.05278,3991.54901,12.06,-1139.7533912299998
Connecticut,2006,31677.453,34681.73618,4696.78901,14.83,-1165.25057432
Connecticut,2007,34129.10701,33201.91922,5613.29902,16.45,-1508.43679729
Connecticut,2008,30956.54399,30395.890649999998,5508.3669,17.79,-1989.6594942299998
Connecticut,2009,29715.76398,31195.45204,5365.94728,18.06,-2401.13127651
Connecticut,2010,30391.76601,33330.63931,5283.86001,17.39,-1781.28596346
Connecticut,2011,29858.993,33734.012599999995,4881.52297,16.35,-2345.44777321
Connecticut,2012,29492.33802,36112.11195,4584.47785,15.54,0.0
Delaware,2001,11378.62599,6807.684,773.72598,6.8,0.0
Delaware,2002,12018.734,6002.4890000000005,830.495,6.91,0.0
Delaware,2003,12599.59001,7392.287,877.03801,6.96,0.0
Delaware,2004,11761.15299,7855.55258,885.28001,7.53,0.0
Delaware,2005,12136.78801,8136.56808,941.33399,7.76,0.0
Delaware,2006,11554.672,7182.179370000001,1170.75601,10.13,0.0
Delaware,2007,11868.81001,8534.16326,1347.41002,11.35,0.0
Delaware,2008,11748.78298,7523.83862,1452.209,12.36,0.0
Delaware,2009,11257.778,4841.56286,1367.2059,12.14,0.0
Delaware,2010,11605.93199,5627.64501,1389.72942,11.97,0.0
Delaware,2011,11483.296,6590.194799999999,1318.64802,11.48,0.0
Delaware,2012,11519.33103,8633.694000000001,1274.05099,11.06,0.0
District of Columbia,2001,10880.472,123.239,805.12599,7.4,0.0
District of Columbia,2002,11128.74299,261.98,816.88699,7.34,0.0
District of Columbia,2003,10946.38301,74.144,809.64902,7.4,0.0
